Kode MK,Nama MK,Jenis MK,Semester Kurikulum,Semester Aktif,Status Dibuka,Mahasiswa Reguler,Peminat Pra-KRS,Estimasi Pengulang,Estimasi Peserta,Kapasitas Target Kelas,Jumlah Kelas Rekomendasi,Jumlah Kelas Final,Manual Override,Catatan Admin
CIF61101,Rekayasa Perangkat Lunak,Wajib,1,Ganjil,Ya,268,0,0,268,40,7,7,Tidak,
CIF61302,Statistika dan Teori Peluang,Wajib,1,Ganjil,Ya,268,0,0,268,40,7,7,Tidak,
COM60011,Arsitektur dan Organisasi Komputer,Wajib,1,Ganjil,Ya,268,0,0,268,40,7,7,Tidak,
COM60014,Pemrograman Dasar,Wajib,1,Ganjil,Ya,268,0,0,268,40,7,7,Tidak,
COM60016,Pengantar Keilmuan Komputer,Wajib,1,Ganjil,Ya,268,0,0,268,40,7,7,Tidak,
COM60025,Kalkulus,Wajib,1,Ganjil,Ya,268,0,0,268,40,7,7,Tidak,
CIF63106,Analisis dan Perancangan Sistem,Wajib,3,Ganjil,Ya,265,0,0,265,40,7,7,Tidak,
CIF63108,Interaksi Manusia dan Komputer,Wajib,3,Ganjil,Ya,265,0,0,265,40,7,7,Tidak,
CIF63110,Kecerdasan Artifisial,Wajib,3,Ganjil,Ya,265,0,0,265,40,7,7,Tidak,
CIF63207,Jaringan Komputer,Wajib,3,Ganjil,Ya,265,0,0,265,40,7,7,Tidak,
CIF63309,Metode Numerik,Wajib,3,Ganjil,Ya,265,0,0,265,40,7,7,Tidak,
COM60004,Algoritma dan Struktur Data,Wajib,3,Ganjil,Ya,265,0,0,265,40,7,7,Tidak,
CIF65115,Pemrograman Aplikasi Perangkat Bergerak,Wajib,5,Ganjil,Ya,267,0,0,267,40,7,7,Tidak,
CIF65116,Komputer Grafis,Wajib,5,Ganjil,Ya,267,0,0,267,40,7,7,Tidak,
CIF65217,Jaringan Nirkabel,Wajib,5,Ganjil,Ya,267,0,0,267,40,7,7,Tidak,
CIF65318,Jaringan Saraf Tiruan,Wajib,5,Ganjil,Ya,267,0,0,267,40,7,7,Tidak,
CIF65319,Statistika inferensi,Wajib,5,Ganjil,Ya,267,0,0,267,40,7,7,Tidak,
COM60051,Metodologi Penelitian dan Penulisan Ilmiah,Wajib,5,Ganjil,Ya,267,0,0,267,40,7,7,Tidak,
CIF61121,Pola Perancangan,Pilihan,Ganjil,Ganjil,Ya,0,44,0,44,40,2,2,Tidak,
CIF61124,Arsitektur Berbasis Layanan,Pilihan,Ganjil,Ganjil,Ya,0,56,0,56,40,2,2,Tidak,
CIF61125,Pemrograman Gim,Pilihan,Ganjil,Ganjil,Ya,0,44,0,44,40,2,2,Tidak,
CIF61126,Realitas terkembang,Pilihan,Ganjil,Ganjil,Ya,0,72,0,72,40,2,2,Tidak,
CIF61230,Jaringan komputer lanjut,Pilihan,Ganjil,Ganjil,Ya,0,52,0,52,40,2,2,Tidak,
CIF61233,Administrasi sistem server,Pilihan,Ganjil,Ganjil,Ya,0,100,0,100,40,3,3,Tidak,
CIF61235,Forensik Digital,Pilihan,Ganjil,Ganjil,Ya,0,54,0,54,40,2,2,Tidak,
CIF61236,Keamanan Jaringan,Pilihan,Ganjil,Ganjil,Ya,0,64,0,64,40,2,2,Tidak,
CIF61339,Pengolahan Citra Digital dan Visi Komputer,Pilihan,Ganjil,Ganjil,Ya,0,85,0,85,40,3,3,Tidak,
CIF61341,Pemrosesan Bahasa Alami,Pilihan,Ganjil,Ganjil,Ya,0,92,0,92,40,3,3,Tidak,
CIF61346,Deep Learning,Pilihan,Ganjil,Ganjil,Ya,0,85,0,85,40,3,3,Tidak,
CIF61347,Penerapan Kecerdasan Artifisial,Pilihan,Ganjil,Ganjil,Ya,0,81,0,81,40,3,3,Tidak,
CIF60038,DevSecOps,Pilihan,Ganjil/Genap,Ganjil,Ya,0,40,0,40,40,1,1,Tidak,
CIF60048,Machine Learning Operations (MLOps),Pilihan,Ganjil/Genap,Ganjil,Ya,0,40,0,40,40,1,1,Tidak,
