Kode MK,Semester Aktif,Jumlah Peminat
CIF61233,Ganjil,100
CIF62342,Genap,63
CIF62344,Genap,53
CIF61124,Ganjil,56
CIF62232,Genap,51
CIF61346,Ganjil,85
CIF60038,Ganjil/Genap,94
CIF62122,Genap,88
CIF61235,Ganjil,54
CIF61230,Ganjil,52
CIF62234,Genap,37
CIF62237,Genap,45
CIF61236,Ganjil,64
CIF60048,Ganjil/Genap,62
CIF62340,Genap,53
CIF61125,Ganjil,44
CIF62127,Genap,74
CIF61341,Ganjil,92
CIF61347,Ganjil,81
CIF61339,Ganjil,85
CIF62128,Genap,65
CIF62120,Genap,60
CIF62231,Genap,35
CIF62123,Genap,68
CIF61121,Ganjil,44
CIF61126,Ganjil,72
CIF62345,Genap,79
CIF62343,Genap,58
CIF62229,Genap,75
