id,hari,jam_mulai,jam_selesai,sks
0,senin,07:00:00,08:40:00,2
1,senin,07:00:00,09:30:00,3
2,senin,08:45:00,10:25:00,2
3,senin,08:45:00,11:15:00,3
4,senin,09:35:00,11:20:00,2
5,senin,09:35:00,12:05:00,3
6,senin,10:30:00,12:10:00,2
7,senin,12:30:00,14:10:00,2
8,senin,12:30:00,15:00:00,3
9,senin,14:15:00,15:55:00,2
10,senin,14:30:00,16:10:00,2
11,senin,15:20:00,17:00:00,2
12,senin,15:20:00,17:50:00,3
13,senin,16:00:00,17:40:00,2
14,selasa,07:00:00,08:40:00,2
15,selasa,07:00:00,09:30:00,3
16,selasa,08:45:00,10:25:00,2
17,selasa,08:45:00,11:15:00,3
18,selasa,09:35:00,11:20:00,2
19,selasa,09:35:00,12:05:00,3
20,selasa,10:30:00,12:10:00,2
21,selasa,12:30:00,14:10:00,2
22,selasa,12:30:00,15:00:00,3
23,selasa,14:15:00,15:55:00,2
24,selasa,14:30:00,16:10:00,2
25,selasa,15:20:00,17:00:00,2
26,selasa,15:20:00,17:50:00,3
27,selasa,16:00:00,17:40:00,2
28,rabu,07:00:00,08:40:00,2
29,rabu,07:00:00,09:30:00,3
30,rabu,08:45:00,10:25:00,2
31,rabu,08:45:00,11:15:00,3
32,rabu,09:35:00,11:20:00,2
33,rabu,09:35:00,12:05:00,3
34,rabu,10:30:00,12:10:00,2
35,rabu,12:30:00,14:10:00,2
36,rabu,12:30:00,15:00:00,3
37,rabu,14:15:00,15:55:00,2
38,rabu,14:30:00,16:10:00,2
39,rabu,15:20:00,17:00:00,2
40,rabu,15:20:00,17:50:00,3
41,rabu,16:00:00,17:40:00,2
42,kamis,07:00:00,08:40:00,2
43,kamis,07:00:00,09:30:00,3
44,kamis,08:45:00,10:25:00,2
45,kamis,08:45:00,11:15:00,3
46,kamis,09:35:00,11:20:00,2
47,kamis,09:35:00,12:05:00,3
48,kamis,10:30:00,12:10:00,2
49,kamis,12:30:00,14:10:00,2
50,kamis,12:30:00,15:00:00,3
51,kamis,14:15:00,15:55:00,2
52,kamis,14:30:00,16:10:00,2
53,kamis,15:20:00,17:00:00,2
54,kamis,15:20:00,17:50:00,3
55,kamis,16:00:00,17:40:00,2
56,jumat,07:00:00,08:40:00,2
57,jumat,07:00:00,09:30:00,3
58,jumat,08:45:00,10:25:00,2
59,jumat,08:45:00,11:15:00,3
60,jumat,09:35:00,11:20:00,2
61,jumat,09:35:00,12:05:00,3
62,jumat,10:30:00,12:10:00,2
63,jumat,12:30:00,14:10:00,2
64,jumat,12:30:00,15:00:00,3
65,jumat,14:15:00,15:55:00,2
66,jumat,14:30:00,16:10:00,2
67,jumat,15:20:00,17:00:00,2
68,jumat,15:20:00,17:50:00,3
69,jumat,16:00:00,17:40:00,2
